"title","date","display date","media type","media url","caption","body","read more source","read more url"
"Does Gov. Brown's drought proposal address California's long term water needs? ","Feb 21, 2014","February 21","image","http://a.scpr.org/i/497e5c2650ae1c816b8f45c72cec5e53/78615-full.jpg","California Governor Jerry Brown (R) listens while US President Barack Obama meets with locals at the San Luis Water Facility February 14, 2014 in Firebaugh.","Governor Jerry Brown unveiled a $687 million proposal this week designed to tackle the ongoing drought problem in the state. ","KPCC","http://www.scpr.org/programs/airtalk/2014/02/21/36153/does-gov-brown-s-drought-proposal-address-californ/"
"Mono Indian tribe seeks protection of California watersheds in response to drought","Feb 21, 2014","February 21","image","http://a.scpr.org/i/839d87e08ea0061b6e5ab29bbd9660dd/78602-full.jpg","Ron Goode, North Fork Mono Tribal Chairman, teaching children about California Indians and the land near one of the Tribe's restoration sites at Lost Lake in 2010. ","Governor Jerry Brown has outlined nearly $700 million in measures to respond to California's drought. The proposed legislation outlines funds to recapture and re-use storm water, increase conservation, and get relief to the hardest-hit areas, including 17 communities at risk of running out of drinking water in the coming months.","KPCC","http://www.scpr.org/programs/take-two/2014/02/21/36122/mono-indian-tribe-seeks-protection-of-california-w/"
"Gov. Jerry Brown on his plan to ease California's water woes","Feb 21, 2014","February 21","image","http://a.scpr.org/i/6f1337e07dadc0e95dc7d5bdf1554dfa/78605-full.jpg","US President Barack Obama (2nd-L) walks with California Governor Jerry Brown (L), Joe and Maria Del Bosque (R) of Empresas Del Bosque farm, addressing California's drought situation Friday, Feburary 14, 2014 in Los Banos, CA.","California Governor Jerry Brown joined Take Two to discuss the state's drought situation, what he and President Obama discussed during his visit, and how he plans to address the issue.","KPCC","http://www.scpr.org/programs/take-two/2014/02/21/36144/gov-jerry-brown-on-his-plan-to-ease-california-s-w/"
"State of Affairs: Drought, high-speed rail, film tax credits and more","Feb 20, 2014","February 20","image","http://a.scpr.org/i/3ec8cbe1d3829bd659f77808cd63d2a8/76495-full.jpg","California Gov. Jerry Brown speaks during a news conference on January 17, 2014 in San Francisco, California.  Gov. Brown declared a drought state of emergency for  California as the state faces water shortfalls in what is expected to be the driest year in state history. Residents are being asked to voluntarily reduce water usage by 20%.  ","It's Thursday and that means it's time for State of Affairs, our look at politics and government throughout California. To help us with that we're joined in studio by KPCC political reporters Alice Walton and Frank Stoltze.","KPCC","http://www.scpr.org/programs/take-two/2014/02/20/36130/state-of-affairs-drought-high-speed-rail-film-tax/"
"How will Gov. Brown's planned $687.4 million bring drought relief?","Feb 20, 2014","February 20","image","http://a.scpr.org/i/f21704470445dcef11e50305e105b0e4/78349-full.jpg","A sercret service agent looks over a farm field as President Barack Obama speaks to the media on California's drought situation on February 14, 2014 in Los Banos, California. Obama met with farmers and ranchers while pledging millions of dollars in federal funds for drought relief projects in California   ","Yesterday, the governor announced a plan which includes funding to improve conservation, clean up drinking water and make irrigation systems more efficient. ","KPCC","http://www.scpr.org/programs/take-two/2014/02/20/36125/how-will-gov-brown-s-planned-687-4-million-bring-d/"
"California Legislative Analyst's Office questions Brown's jail funding proposal, predicts further court cuts","Feb 19, 2014","February 19","image","http://a.scpr.org/i/96d25a2755b2eb04acb7384539852365/76268-full.jpg","Governor Jerry Brown's proposed 2014-2015 budget contains $14.1 billion in criminal justice related funding.","The LAO, which provides recommendations to the state legislature, released a review Wednesday of Brown's criminal justice proposals, totaling $14.1 billion. Read the full report.","KPCC","http://www.scpr.org/news/2014/02/19/42312/california-legislative-analysts-office-questions-b/"
"Gov. Brown proposes $687 million for California drought relief","Feb 19, 2014","February 19","image","http://a.scpr.org/i/953583f682dfc7bca5b6a892dd1c7199/74088-full.jpg","In this file photo, California Governor Jerry Brown speaks during the Center for American Progress 10th Anniversary Conference in Washington, DC, October 24, 2013. Brown was expected Wednesday to propose $680 million for drought relief in the state.","Gov. Jerry Brown on Wednesday proposed spending nearly $700 million to provide immediate help for communities coping with California's drought.","KPCC","http://www.scpr.org/news/2014/02/19/42323/brown-to-propose-680m-for-calif-drought-relief/"
"Lara introduces health care bill for undocumented immigrants","Feb 14, 2014","February 14","image","http://a.scpr.org/i/154ebe559ec046e0965433207418b8c7/78257-full.jpg","State Sen. Ricardo Lara (D-Long Beach) introducing SB 1005 at a news conference outside Clinica Oscar Romero in Boyle Heights.","State Senator Ricardo Lara says he still does not know how his bill would be funded, or how much it would cost taxpayers. ","KPCC","http://www.scpr.org/news/2014/02/14/42244/lara-introduces-immigrant-health-care-bill/"
"GOP not invited to Fresno drought event with President Obama","Feb 14, 2014","February 14","image","http://a.scpr.org/i/8752f072aefd3302ca6c34880a781152/76592-full.jpg","House Speaker John Boehner joined a trio of California GOP members in the Central Valley last month to push for drought relief. No Republicans will attend President Obama's visit to the region.","It'a a political water war: In the wake of a GOP House bill that critics say would harm the  environment, the president visits the Central Valley with only Democrats in tow.
","KPCC","http://www.scpr.org/blogs/politics/2014/02/14/15860/gop-not-invited-to-fresno-drought-event-with-presi/"
"California analyst office faults governor's proposed college funding","Feb 13, 2014","February 13","image","http://a.scpr.org/i/3cab8379167d4d935a9d71fb5963d8e2/68789-full.jpg","California Governor Jerry Brown.","Gov. Brown is proposing a $1.2 billion funding increase for public colleges next fiscal year, but the legislative analyst's office wants funding goals.","KPCC","http://www.scpr.org/blogs/education/2014/02/13/15844/california-analyst-office-says-governor-s-proposed/"
